"provincia	poblacion	codigopostalid	lat	lon	"
"Madrid	Lozoya	28742	-3.793353970	40.951999960	"
"Madrid	Madarcos	28755	-3.582674750	41.047409760	"
"Madrid	Madrid	28000	-3.687600880	40.408411910	"
"Madrid	Madrid	28001	-3.687600880	40.408411910	"
"Madrid	Madrid	28002	-3.687600880	40.408411910	"
"Madrid	Madrid	28003	-3.687600880	40.408411910	"
"Madrid	Madrid	28004	-3.687600880	40.408411910	"
"Madrid	Madrid	28005	-3.687600880	40.408411910	"
"Madrid	Madrid	28006	-3.687600880	40.408411910	"
"Madrid	Madrid	28007	-3.687600880	40.408411910	"
"Madrid	Madrid	28008	-3.687600880	40.408411910	"
"Madrid	Madrid	28009	-3.687600880	40.408411910	"
"Madrid	Madrid	28010	-3.687600880	40.408411910	"
"Madrid	Madrid	28011	-3.687600880	40.408411910	"
"Madrid	Madrid	28012	-3.687600880	40.408411910	"
"Madrid	Madrid	28013	-3.687600880	40.408411910	"
"Madrid	Madrid	28014	-3.687600880	40.408411910	"
"Madrid	Madrid	28015	-3.687600880	40.408411910	"
"Madrid	Madrid	28016	-3.687600880	40.408411910	"
"Madrid	Madrid	28017	-3.687600880	40.408411910	"
"Madrid	Madrid	28018	-3.687600880	40.408411910	"
"Madrid	Madrid	28019	-3.687600880	40.408411910	"
"Madrid	Madrid	28020	-3.687600880	40.408411910	"
"Madrid	Madrid	28021	-3.687600880	40.408411910	"
"Madrid	Madrid	28022	-3.687600880	40.408411910	"
"Madrid	Madrid	28023	-3.687600880	40.408411910	"
"Madrid	Madrid	28024	-3.687600880	40.408411910	"
"Madrid	Madrid	28025	-3.687600880	40.408411910	"
"Madrid	Madrid	28026	-3.687600880	40.408411910	"
"Madrid	Madrid	28027	-3.687600880	40.408411910	"
"Madrid	Madrid	28028	-3.687600880	40.408411910	"
"Madrid	Madrid	28029	-3.687600880	40.408411910	"
"Madrid	Madrid	28030	-3.687600880	40.408411910	"
"Madrid	Madrid	28031	-3.687600880	40.408411910	"
"Madrid	Madrid	28032	-3.687600880	40.408411910	"
"Madrid	Madrid	28033	-3.687600880	40.408411910	"
"Madrid	Madrid	28034	-3.687600880	40.408411910	"
"Madrid	Madrid	28035	-3.687600880	40.408411910	"
"Madrid	Madrid	28036	-3.687600880	40.408411910	"
"Madrid	Madrid	28037	-3.687600880	40.408411910	"
"Madrid	Madrid	28038	-3.687600880	40.408411910	"
"Madrid	Madrid	28039	-3.687600880	40.408411910	"
"Madrid	Madrid	28040	-3.687600880	40.408411910	"
"Madrid	Madrid	28041	-3.687600880	40.408411910	"
"Madrid	Madrid	28042	-3.687600880	40.408411910	"
"Madrid	Madrid	28043	-3.687600880	40.408411910	"
"Madrid	Madrid	28044	-3.687600880	40.408411910	"
"Madrid	Madrid	28045	-3.687600880	40.408411910	"
"Madrid	Madrid	28046	-3.687600880	40.408411910	"
"Madrid	Madrid	28047	-3.687600880	40.408411910	"
"Madrid	Madrid	28048	-3.687600880	40.408411910	"
"Madrid	Madrid	28049	-3.687600880	40.408411910	"
"Madrid	Madrid	28050	-3.687600880	40.408411910	"
"Madrid	Madrid	28051	-3.687600880	40.408411910	"
"Madrid	Madrid	28052	-3.687600880	40.408411910	"
"Madrid	Madrid	28053	-3.687600880	40.408411910	"
"Madrid	Madrid	28054	-3.687600880	40.408411910	"
"Madrid	Madrid	28055	-3.687600880	40.408411910	"
"Madrid	Majadahonda	28220	-3.874115130	40.472099620	"
"Madrid	Majadahonda	28221	-3.874115130	40.472099620	"
"Madrid	Majadahonda	28222	-3.874115130	40.472099620	"
"Madrid	Manzanares el Real	28410	-3.864864850	40.726098120	"
"Madrid	Manzanares el Real	28470	-3.864864850	40.726098120	"
"Madrid	Manzanares el Real	28492	-3.864864850	40.726098120	"
"Madrid	Meco	28880	-3.329081790	40.553750830	"
"Madrid	Mejorada del Campo	28840	-3.488470750	40.396791370	"
"Madrid	Miraflores de la Sierra	28792	-3.765397310	40.813902540	"
"Madrid	Los Molinos	28460	-4.072492460	40.715212890	"
"Madrid	Montejo de la Sierra	28190	-3.530033400	41.059202810	"
"Madrid	Moraleja de Enmedio	28950	-3.859655800	40.259791140	"
"Madrid	Moralzarzal	28411	-3.972797740	40.681314120	"
"Madrid	Morata de TajuÃ±a	28530	-3.434061960	40.228625150	"
"Madrid	MÃ³stoles	28635	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28931	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28932	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28933	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28934	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28935	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28936	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28937	-3.864888800	40.323555370	"
"Madrid	MÃ³stoles	28938	-3.864888800	40.323555370	"
"Madrid	Navacerrada	28491	-4.013782590	40.730904510	"
"Madrid	Navalafuente	28729	-3.673979730	40.824426340	"
"Madrid	Navalagamella	28210	-4.119933150	40.468655750	"
"Madrid	Navalagamella	28212	-4.119933150	40.468655750	"
"Madrid	Navalagamella	28954	-4.119933150	40.468655750	"
"Madrid	Navalcarnero	28600	-4.014780840	40.288472950	"
"Madrid	Navarredonda y San MamÃ©s	28739	-3.726315120	40.990825330	"
"Madrid	Navas del Rey	28695	-4.252279220	40.382569790	"
"Madrid	Nuevo BaztÃ¡n	28514	-3.243131280	40.366148880	"
"Madrid	Olmeda de las Fuentes	28515	-3.221576750	40.369705410	"
"Madrid	Orusco de TajuÃ±a	28570	-3.209359020	40.284266210	"
"Madrid	Paracuellos de Jarama	28860	-3.531470480	40.504918570	"
"Madrid	Paracuellos de Jarama	28861	-3.531470480	40.504918570	"
"Madrid	Paracuellos de Jarama	28862	-3.531470480	40.504918570	"
"Madrid	Parla	28980	-3.770869100	40.237820830	"
"Madrid	Parla	28981	-3.770869100	40.237820830	"
"Madrid	Parla	28982	-3.770869100	40.237820830	"
"Madrid	Parla	28983	-3.770869100	40.237820830	"
"Madrid	Parla	28984	-3.770869100	40.237820830	"
"Madrid	Patones	28189	-3.493031960	40.865490420	"
"Madrid	Pedrezuela	28723	-3.603346500	40.745551030	"
"Madrid	Pelayos de la Presa	28696	-4.336053230	40.359371430	"
"Madrid	Perales de TajuÃ±a	28540	-3.353298500	40.233358510	"
"Madrid	Pezuela de las Torres	28812	-3.177568310	40.418511420	"
"Madrid	Pinilla del Valle	28749	-3.817664980	40.927030650	"
"Madrid	Pinto	28320	-3.698249530	40.243182380	"
"Madrid	PiÃ±uÃ©car-Gandullas	28737	-3.599498970	41.032883490	"
"Madrid	Pozuelo de AlarcÃ³n	28223	-3.815816390	40.435939870	"
"Madrid	Pozuelo de AlarcÃ³n	28224	-3.815816390	40.435939870	"
"Madrid	Pozuelo del Rey	28813	-3.321659430	40.366598020	"
